cod,denumire,cod_fiscal,analitic,tara,judet,adresa,cont_banca,banca,tel,email,grupa,reg_com,delegat,bi_serie,bi_numar,bi_pol,masina,den_agent,discount
00124,UPSCALE DEVELOPMENT SRL,RO22410869,4111.00124,RO,B,"SECTOR 2, STR. GHEORGHE TITEICA, NR.212-214, CLADIREA DE BIROURI ETHOS HOUSE, BIROUL NR.10, ET.6",,,0742102052,,,J40/17197/2007,,,,,,CRISTIAN FIRCA,0
00125,MAGIC HUB SRL,RO17345845,4111.00125,RO,B,"SECTOR 4, STR. CERCETATORILOR, NR.4, BL.26, SC.2, ET.7, AP.64",,,07112790,,,J40/4772/2005,,,,,,BOGDAN CRAIOVEANU,0
00126,10DGT COMEX SRL,RO26361025,4111.00126,RO,DJ,"SAT PIELESTI COM. PIELESTI, STR. MAGNOLIA, NR.55",RO90RZBR0000060012228339,RAIFFEISENBANK ROMANIA.,0760324740,,,J16/1664/2009,,,,,,CRISTIAN FIRCA,0
00127,VIVA SISTEM ELECTRIC SRL,RO18774608,4111.00127,RO,PH,"MUN. PLOIESTI, STR. MARIN MEHEDINTEANU, NR.5",RO75BTRL03001202A83012XX,BANCA TRANSILVANIA,0244515601,,,J29/1319/2006,,,,,,BOGDAN CRAIOVEANU,0
00128,GREEN ENVIRONMENT SUPPORT,RO28514770,4111.00128,RO,B,Str. CERCETATORILOR 4 Bucuresti,,,0723699611,,,J40/14450/2013,,,,,,BOGDAN CRAIOVEANU,0
00129,ATELIER OLAH SRL,37346977,4111.00129,RO,B,"SECTOR 6, STR. PRAVAT, NR.6, BL.P4, SC.8, ET.2, AP.150",RO60BTRLRONCRT0390888401,BANCA TRANSILVANIA,0722694854,office@atelierolah.ro,,J40/4786/2017,,,,,,PAUL MOSSANG,0
00130,PROCESS ENGINEERING SRL,RO16217333,4111.00130,RO,B,"SECTOR 2, STR. EUFROSIN POTECA, NR.26, ET.P, AP.1",,,0213135473,,,J40/3719/2004,,,,,,BOGDAN CRAIOVEANU,0
00131,BK TECHNIK SRL,RO13901263,4111.00131,RO,B,"SECTOR 1, STR. ALBAC, NR.10A",RO33BACX000000076000,UNICREDIT BANK SA,0213155622,office@bktechnik.ro,,J40/2095/2002,,,,,,HORIA TODEA,0
00132,ROMTEST ELECTRONIC SRL,RO403283,4111.00132,RO,B,"SECTOR 5, STR. IACOBENI, NR.4",RO63RNCB0072049715260001,BANCA COMERCIALA ROMANA,0214233607,,,J40/3825/1991,,,,,,HORIA TODEA,0
00133,MEDIA ONE SRL,RO6884372,4111.00133,RO,PH,"MUN. PLOIESTI, STR. MIHAI BRAVU, NR.6",,,0213150516,,,J29/3019/1994,,,,,,CRISTIAN FIRCA,0
00134,REINVENT ENERGY SRL,RO37358718,4111.00134,RO,B,"SECTOR 3, STR. BABA NOVAC, NR.8A, CAMERA NR. 22105, BL.C, ET.2, AP.221",,,-,,,J40/4935/2017,,,,,,HORIA TODEA,0
00135,PLASTIC LEGNO ROMANIA SRL,RO8746767,4111.00135,RO,B,"SECTOR 2, SOS Centura 10-11 corp C5, Chiajna",,,0214936050,,,J23/5408/2017,,,,,,HORIA TODEA,0
00136,SUNINVEST IMOBILIARE S.R.L.,RO21103947,4111.00136,RO,B,"Str. Industriilor 4-5, Comuna Clinceni, Ilfov",RO70BACX0000004513925000,UNICREDIT BANK SA,0744317001,,,J40/3161/2007,,,,,,HORIA TODEA,0
00137,YVES ROCHER ROMANIA SRL,RO25157427,4111.00137,RO,B,"SECTOR 1, STR. ION CAMPINEANU, NR.11, BIROU 6.03, 6.04, ET.6",,,0213373711,,,J40/2299/2009,,,,,,BOGDAN CRAIOVEANU,0
00138,LETICS ATELIER SRL,RO34877168,4111.00138,RO,IF,"JUD. ILFOV, ORS. MAGURELE, STR. LACULUI, NR.32, PARTER, CAMERA NR.15",,,-,,,J23/2818/2015,,,,,,PAUL MOSSANG,0
00139,HTO ARCHITECTURE & ENGINEERING SRL,RO34585830,4111.00139,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, STR. VISARION, NR.10, ET.2",RO26MIRO0000139224700001,PROCREDIT BANK,-,,,J40/6520/2015,,,,,,PAUL MOSSANG,0
00140,TIVIERRE CONSULTING SRL,RO18933649,4111.00140,RO,IF,"JUD. ILFOV, SAT STEFANESTII DE JOS COM. STEFANESTII DE JOS, STR. VERDE, NR.3, CAM. 6, BL.G9, ET.1, A",RO50BRDE441SV80594974410,BANCA ROMANA DE DEZVOLTARE,0213615216,,,J23/1554/2010,,,,,,CRISTIAN FIRCA,0
00141,PXF LIGHTING,PL9510026664,4111.00141,PL,,,,,,,,,,,,,,CRISTIAN FIRCA,0
00142,HARD INSTAL CONSULTING S.R.L.,RO26950217,4111.00142,RO,IF,"JUD. ILFOV, SAT VOLUNTARI ORS. VOLUNTARI, STR. POPASULUI, NR.32",RO 09 INGB 0000 9999 0194 3174,ING BANK ROMANIA,0755023521,,,J23/1484/2010,,,,,,HORIA TODEA,0
00143,QVADRA CONSTRUCTIONS CONSULTING SRL,RO20461289,4111.00143,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 4, BLD. MARASESTI, NR.2B, BL.D, SC.2, ET.P",,,0728121520,,,J40/318/2007,,,,,,BOGDAN CRAIOVEANU,0
00144,ICATCH DESIGN SRL,RO33302129,4111.00144,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, STR. MOECIU, NR.3, CAMERA 1, ET.1",,,0720724647,,,J40/7381/2014,,,,,,CRISTIAN FIRCA,0
00145,PESCARUS HERASTRAU SRL,RO33836062,4111.00145,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, BLD. AVIATORILOR, NR.1",RO67RZBR0000060017317470,RAIFFEISENBANK ROMANIA.,-,,,J40/13692/2014,,,,,,BOGDAN CRAIOVEANU,0
00146,MAROZA NATURAL SRL,RO37792287,4111.00146,RO,,"SECTOR 2, B-DUL DACIA, NR.107, CAMERA NR. 5, ET.1",RO89BTRLRONCRT0400134501,BANCA TRANSILVANIA,0724000289,paul.stancu@maroza.ro,,J40/9697/2017,,,,,,CRISTIAN FIRCA,0
00147,CONSTRUCTII ERBASU SA,RO430008,4111.00147,RO,B,"SECTOR 1, STR. NICOLAE G. CARAMFIL, NR.72, BL.XXII A, ET.P, AP.1(C 2,4),2",,,0212323545,,,J40/2205/1991,,,,,,HORIA TODEA,0
00148,ADVANCED LTD,203764090,4111.00148,BG,,JANE SANSANSKI 1,,,,,,,,,,,,CRISTIAN FIRCA,0
00149,GERMAN QUALITY SOLUTION SRL,RO18530077,4111.00149,RO,B,"SECTOR 2, INT. CHEFALULUI, NR.11-13, SPATIILE COMERCIALE NR.1, NR.2 SI NR.4, BL.D, ET.PARTER",RO15 BTRL 0430 1202 6715 62XX,BANCA TRANSILVANIA,0216655068,,,J40/5152/2006,,,,,,ADRIAN STANCIU,0
00150,MHT EXPERIENCE SRL,RO30090250,4111.00150,RO,B,"SECTOR 6, STR. VALEA CALUGAREASCA, NR.15, BL.Z1, SC.1, ET.7, AP.44",RO87INGB0000999903831718,ING BANK ROMANIA,0751217787,c.simion@mht-experience.ro,,J40/4492/2012,,,,,,BOGDAN CRAIOVEANU,0
00151,SAMSIC CONTRACT CLEANING SRL,RO17972585,4111.00151,RO,B,"SECTOR 2, SOS. PIPERA, NR.59, ET.1, AP.BIROUL 2",RO26BACX0000000028191250,UNICREDIT BANK SA,0314054817,Paul.Popa@samsic.ro,,J40/16019/2005,,,,,,BOGDAN CRAIOVEANU,0
00152,CONTUR CONCEPT SRL,RO24610014,4111.00152,RO,B,Str. NICOLAE CONSTANTINESCU 7A Bucuresti,RO74BACX0000000279061001,UNICREDIT BANK SA,0741073474,,,J40/17654/2008,,,,,,CRISTIAN FIRCA,0
00153,TRIAC INST 96 SRL,RO8489442,4111.00153,RO,B,"SECTOR 4, B-DUL GHEORGHE SINCAI, NR.5, BL.2, SC.2, ET.2, AP.38",RO67BPSO81002695429ROL01,,0744497087,,,J40/3928/1996,,,,,,HORIA TODEA,0
00154,SILVIA MITAN,2690330424513,4111.00154,RO,B,"Str.Dambovitei nr.40, Bl. 1, Sc.1, Etaj 6, ap.62, Sector 6.",,,,,,,,,,,,PAUL MOSSANG,0
00155,NOVEX-YORDANOV EOOD,BG121334680,4111.00155,BG,,"1421 Sofia, Tsanko Tserkovski street 3",,,,,,,,,,,,CRISTIAN FIRCA,0
00156,MERCURY LIGHTING SRL,RO4937616,4111.00156,RO,PH,"COM. BLEJOI, STR. DN1, KM 65+46 DR",,,0753039379,,,J29/2788/1993,,,,,,DANIELA MARIN,0
00157,ARC ELECTRONIC,RO6535640,4111.00157,RO,BV,"MUN. BRASOV, STR. FANTANII, NR.17",RO98BACX0000000129644000,UNICREDIT BANK SA,0751284149,dana.lazar@arc-electronic.ro,,J08/3212/1994,,,,,,BOGDAN CRAIOVEANU,0
00158,SOLAR VIP STUDIO MILITARI,39267764,4111.00158,RO,B,Bdul Iuliu maniu 7 bucureti sector 6,,,-,,,J40/2195/2015,,,,,,CRISTIAN FIRCA,0
00159,SOLARE VIP STUDIO SRL,34148894,4111.00159,RO,B,"SECTOR 3, STR. PLUT. NEDELCU ION, NR.3, CAMERA 2, BL.1A, SC.1, ET.1, AP.8",,,-,,,J40/2195/2015,,,,,,CRISTIAN FIRCA,0
00160,SOLAR VIP STUDIO TITAN SRL,35370561,4111.00160,RO,B,"SECTOR 3, STR. COLONEL IOSIF ALBU, NR.62A, ET.1",,,-,,,J40/15871/2015,,,,,,CRISTIAN FIRCA,0
00161,SOLAR VIP STUDIO SALAJAN SRL,35862041,4111.00161,RO,B,"SECTOR 3, B-DUL NICOLAE GRIGORESCU, NR.49, PARTER, BL.E1, SC.2, AP.45",,,-,,,J40/4467/2016,,,,,,CRISTIAN FIRCA,0
00162,PORTLAND TRUST DEVELOPMENTS ONE SRL,RO32606200,4111.00162,RO,B,"SECTOR 2, SOS. PIPERA, NR.46D-46E-48, OREGON PARK, CORP B, PARTER, UNITATILE B032 SI B042, BIROUL NU",,,0745340551,,,J40/15645/2013,,,,,,DANIELA MARIN,0
00163,LINE LIGHTING SRL,RO36002568,4111.00163,RO,B,"SECTOR 1, STR. EMANOIL PORUMBARU, NR.4-4A, ET.1",RO118TRLRONCRT0345095001,,-,,,J40/6060/2016,,,,,,BOGDAN CRAIOVEANU,0
00164,PLAZA EVENTS SRL,RO30406621,4111.00164,RO,CT,"MUN. CONSTANTA, STR. PESCARILOR, NR.26, LOT 1, CAMERA 2, BL.MZ11, ET.P",RO97INGB0000999905693453,ING BANK ROMANIA,-,,,J13/1460/2012,,,,,,FM,0
00165,KATA TECHNIK SRL,RO32355028,4111.00165,RO,B,"SECTOR 6, STR. PRECIZIEI, NR.11, HALA NR. 9",,,0761435240,,,J40/12715/2013,,,,,,CRISTIAN FIRCA,0
00166,DINU LUMINITA,2590923131237,4111.00166,RO,CT,mun. Constanta str. Theodor Sperantia nr. 112,,,,,,,,,,,,FM,0
00167,G.I.S. SRL,RO6809320,4111.00167,RO,B,"SECTOR 5, STR. SUFARU GHEORGHE, NR.23-25",RO24 BACX 0000 0013 6127 8000,UNICREDIT BANK SA,0213267325,,,J40/26149/1994,,,,,,FM,0
00168,H2H FACILITIES,RO38402870,4111.00168,RO,BV,"JUD. BRASOV, SAT SANPETRU COM. SANPETRU, STR. MARTE, NR.23-27H",RO19 RNCB 0053 1569 4272 000,BANCA COMERCIALA ROMANA,-,,,,,,,,,BOGDAN CRAIOVEANU,0
00169,EGLO ROMANIA PRODEXIM SRL,RO8863465,4111.00169,RO,IF,"ORS. MAGURELE, STR. ATOMISTILOR, NR.1D",,,0314250902,,,J23/104/2013,,,,,,,0
00170,TWINS CAFE SRL,RO16975150,4111.00170,RO,B,"SECTOR 2, STR. GLODENI, NR.1-3",RO79BTRL 0410 1202 7871 65XX,BANCA TRANSILVANIA,2120121,,,J40/19287/2004,,,,,,DANIELA MARIN,0
00171,BOGDAN BANDILA,1690717264401,4111.00171,RO,B,Calea Victoriei 91-93,,,,,,,,,,,,FM,0
00172,R.C.T.I. COMPANY SRL,RO27549443,4111.00172,RO,B,"MUN. BRASOV, CAL. BUCURESTI, NR.71, BIROUL 1, ET.1",,,0722555519,,,J08/1147/2010,,,,,,FM,0
00173,DOROBANTU GEORGE DANIEL,1790906453034,4111.00173,RO,B,LACUL PLOPULUI NR5 BL P73 SC1 AP7 SEC5 BUCURESTI,,,,,,,,,,,,,0
00174,CRISTIAN LETOS,1730314463014,4111.00174,RO,B,,,,,,,,,,,,,CRISTIAN FIRCA,0
00175,LIGHT DESIGN ENGINEERING SRL,39545607,4111.00175,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, STR. DOBROGEI, NR.5, CORP B, PARTER",,,,,,J40/9159/2018,,,,,,FM,0
00176,MEDIPLUS EXIM SRL,RO9311280,4111.00176,RO,IF,"COM. MOGOSOAIA, STR. CIOBANULUI, NR.133",,,0213017474,,,J23/741/2007,,,,,,ADRIAN STANCIU,0
00177,COTROCENI PARK SA,RO16785112,4111.00177,RO,B,"SECTOR 6, B-DUL VASILE MILEA, NR.4",,,03142575101112,,,J40/15178/2004,Daniel 0744437778,,,,,FM,0
00178,VOLTER SRL,RO22524553,4111.00178,RO,SV,"ORS. GURA HUMORULUI, BLD. BUCOVINA, NR.97",,,0726783279,,,J33/1522/2007,,,,,,BOGDAN CRAIOVEANU,0
00179,TWINS DOWNTOWN,RO27851688,4111.00179,RO,B,"SECTOR 2, STR. GLODENI, NR.1-3, AP.BIROU NR.2",,,021225926,,,J40/12755/2010,,,,,,DANIELA MARIN,0
00180,GLOBAL VISION PROPERTY MANAGEMENT SRL,RO28037573,4111.00180,RO,B,"SECTOR 2, STR. FABRICA DE GLUCOZA, NR.9B, BL.B, SC.B, ET.1, AP.102",,,0729038884,,,J40/1613/2011,,,,,,CRISTIAN FIRCA,0
00181,TOKO SRL,RO6118600,4111.00181,RO,B,"SECTOR 1, STR. NICOLAE G. CARAMFIL, NR.46, BL.11B, SC.1, ET.3, AP.16",,,0212323172,,,J40/15665/1994,,,,,,CRISTIAN FIRCA,0
00182,GLASSMET INDUSTRY SRL,RO32867583,4111.00182,RO,B,"SECTOR 3, STR. THEODOR SPERANTIA, NR.104, BL.S26, SC.3, ET.5, AP.81",,,-,,,J40/2538/2014,,,,,,PAUL MOSSANG,0
00183,FLEXIK AUTOMATION SRL,RO6351850,4111.00183,RO,TM,"Dumbravita, str. Petofi Sandor nr.81 jud Timis",,,0256291964,,,J35/2848/1994,,,,,,HORIA TODEA,0
00184,TO BE COMPLETED,,4111.00184,RO,,,,,,,,,,,,,,,0
00185,BREAST EXPERT SRL,RO33410139,4111.00185,RO,B,"SECTOR 1, STR. DIONISIE LUPU, NR.61, CAM.2, ET.2, AP.5",,,-,,,J40/8663/2014,,,,,,CRISTIAN FIRCA,0
00186,GREEN SEAS INTERNATIONAL MAINTENANCE SRL,RO36477168,4111.00186,RO,PH,"SAT FUNDENI COM. GURA VITIOAREI, FUNDENI, NR.87",,,0742138770,,,J29/1565/2016,,,,,,BOGDAN CRAIOVEANU,0
00187,TIAB SA,RO1555115,4111.00187,RO,B,"SECTOR 1, STR. PICTOR ARTHUR VERONA, NR.17",,,0213021230,,,J40/1847/1991,,,,,,BOGDAN CRAIOVEANU,0
00188,KRONSOFT DEVELOPMENT SRL,RO21878854,4111.00188,RO,BV,"MUN. BRASOV, BLD. SATURN, NR.51",RO23 RZBR 0000 0600 0927 5507,RAIFFEISENBANK ROMANIA.,0723360185,,,J08/1537/2007,,,,,,BOGDAN CRAIOVEANU,0
00189,IGNA CONSTRUCT SRL,RO70642,4111.00189,RO,BH,"MUN. ORADEA, STR. ALEXANDRU DONICI, NR.18",,,0745643009,,,J05/26/1992,,,,,,HORIA TODEA,0
00190,SC SOLO CAFE AUTOMATE SRL,RO17818692,4111.00190,RO,B,"SECTOR 5, CAL. RAHOVEI, NR.266-268, CORP 5, PARTER, AXELE A -D, STALPII 6-9, CAMERA 6",,,0722361689,,,J40/13126/2005,,,,,,,0
00191,PET CENTER TRADE SRL,RO25403319,4111.00191,RO,B,"SECTOR 6, BLD. IULIU MANIU, NR.560A, AP.R/6B",,,0314328756,,,J40/4457/2009,,,,,,,0
00192,ANGELS DISTRIBUTIONS SRL,RO24595267,4111.00192,RO,B,"SECTOR 3, STR. BABA NOVAC, NR.8A, BL.E, ET.4, AP.439",,,0743058811,,,J40/12221/2014,,,,,,BOGDAN CRAIOVEANU,0
00193,GANDABESCU ION,CNP1720213461550,4111.00193,RO,,"sector 3, strada odobesti 15, bl v15, ap 48",,,,,,,,,,,,,0
00194,MOOD MEDIA ROMANIA SRL,RO13259857,4111.00194,RO,B,"SECTOR 2, STR. GEORGE CONSTANTINESCU, NR.3, Intrarea A+D, PARTER si ET.3, sector 2",RO22 INGB 0001 0082 1435 8910,ING BANK ROMANIA,0213267204,,,J40/7311/2000,,,,,,CRISTIAN LETOS,0
00195,OPTIM PROJECT MANAGEMENT SRL,RO25797949,4111.00195,RO,B,"SECTOR 1, STR. EMANOIL PORUMBARU, NR.25A, ET.3, AP.BIROUL 3A",,,-,,,J40/8056/2009,,,,,,,0
00196,THE HUB TECHNOLOGY,RO38924939,4111.00196,RO,B,"Str. Rafael Sanzio 2,  sector 2",,,-,,,,,,,,,,0
00197,FOOD AND WINE STUDIO SRL,RO35526882,4111.00197,RO,IF,Str. EROU IANCU NICOLAE 52-54 Oras Voluntari,,,-,,,J23/342/2016,,,,,,,0
00198,MARCHIEVICI DAN,1711119335004,4111.00198,RO,B,"str. WASHINGTON 40-42,",,,,,,,,,,,,,0
00199,IGNA CONSTRUCT FILIALA BUCURESTI SRL,RO35260330,4111.00199,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 6, B-DUL GHENCEA, NR.43B, DIN CADRUL CLADIRII DE BIROURI GHENCEA BUSINE",,,-,,,J40/14342/2015,,,,,,,0
00200,RUBIZ MANAGEMENT SRL,RO33370964,4111.00200,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, STR.DRUMUL REGIMENTULUI, NR.79, PARTER,CAMERA 19, AP.2",,,-,,,J40/8203/2014,,,,,,,0
00201,BRANDIENT CONSULT S.R.L.,RO14562513,4111.00201,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, STR. VARSOVIA, NR.4, ET.2",,,0212308173,,,J40/2760/2002,,,,,,,0
00202,BOG ART SRL,RO17487,4111.00202,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, STR. ION BREZOIANU, NR.27",,,0213071241,,,J40/14881/1991,,,,,,,0
00203,KALVA SOLUTIONS SRL,RO24536740,4111.00203,RO,PH,"JUD. PRAHOVA, SAT BLEJOI COM. BLEJOI, NR.677",,,0729083967,,,J29/2677/2008,,,,,,,0
00204,INSTAL INVEST SERVICE MENTENANTA SRL,RO34300177,4111.00204,RO,IF,"JUD. ILFOV, ORS. POPESTI-LEORDENI, STR. SPLAIUL UNIRII, NR.9, BL.1, SC.B, ET.3, AP.88",,,-,,,J23/1084/2015,,,,,,,0
00205,A.M.E. RO SRL,RO13222840,4111.00205,RO,B,"JUD. ILFOV, ORS. OTOPENI, CALEA BUCURESTILOR, PARCELA 1940, NR.87A, ET.1",,,0212505692,,,J23/1362/2004,,,,,,,0
00206,GABRIEL NICOARA-BIROU INDIVIDUAL DE ARHITECTURA,RO21353471,4111.00206,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 2, BLD. FERDINAND I, NR.121, BL.G-2, SC.C, ET.4, AP.58",,,-,,,-/-/-,,,,,,,0
00207,NEXTEL BUSINESS SOLUTIONS SRL,RO18010422,4111.00207,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, STR. VALIUG, NR.32, ET.2",,,-,,,J40/16690/2005,,,,,,,0
00208,LIDA GMBH,ATU72420604,4111.00208,AT,,Jasomirgottstrasse 3a WIEN,,,,,,,,,,,,,0
00209,SIAC SA,RO515,4111.00209,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 2, STR. LUIGI GALVANI, NR.20 BIS",,,3177678,,,J40/992/1991,,,,,,,0
00210,RENTALS SRL,RO16547110,4111.00210,RO,CT,"JUD. CONSTANTA, MUN. CONSTANTA, STR. THEODOR D. SPERANTIA, NR.112",,,0727291918,,,J13/6827/2004,,,,,,,0
00211,RESONANCE DISTRIBUTION SRL,RO25323457,4111.00211,RO,IS,"JUD. IASI, MUN. IASI, STR. RAMPEI, NR.9A",,,-,,,J22/651/2009,,,,,,,0
00212,BUCURESTI MALL DEVELOPMENT AND MANAGEMENT SRL,RO24339722,4111.00212,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 3, CALEA VITAN, NR.55-59, ET.2, AP.BIR. S25A",,,0372089100,,,J40/14055/2008,,,,,,,0
00213,ANCHOR OFFICE DEVELOPMENT AND MANAGEMENT SRL,RO18883664,4111.00213,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 6, B-DUL TIMISOARA, COMPL.COM.PLAZA ROMANIA, NR.26",,,0372088100,,,J40/12114/2006,,,,,,,0
00214,GOURMET FOOD SRL,RO32487916,4111.00214,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, SOS. NORDULUI, NR.1D, CAMERA NR.3",,,-,,,J40/14261/2013,,,,,,,0
00215,TSB ELECTRO DISTRIBUTION SRL,RO31166748,4111.00215,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 3, STR. ROTUNDA, NR.15, BL.H23, SC.1, ET.4, AP.15",,,-,,,J40/1151/2013,,,,,,,0
00216,CRISMAN ELECTRO CONSULTING SRL,RO23201453,4111.00216,RO,BV,"JUD. BRASOV, MUN. BRASOV, STR. CARPATILOR, NR.60, OBIECTIV TAMPLARIE INCINTA.SC METROM SA",,,0743072147,,,J08/266/2008,,,,,,,0
00217,ILLUMINARTE INTERNI SRL,RO33811394,4111.00217,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 2, STR. STEFAN MIHAILEANU, NR.7, CORP A ,CAMERA 4, SC.1",,,-,,,J40/13414/2014,,,,,,,0
00218,APEX ALLIANCE AERO 5 SRL,RO38160351,4111.00218,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 4, STR. EPISCOPUL CHESARIE, NR.15, TRONSON C, PARTER, BIROU NR.1, CAMER",,,-,,,,,,,,,,0
00219,URBANIA CORESI H1 S.R.L.,RO39248851,4111.00219,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 6, STR. BRASOV, NR.25, CLADIREA DE BIROURI, CAMERA 14, ET.5",,,,,,,,,,,,,0
00220,BREAZU TIBERIU-STEFAN,1800806286041,4111.00220,RO,OT,scornicesti,,,,,,,,,,,,,0
00221,PORSCHE INTER AUTO ROMANIA SRL,RO22188461,4111.00221,RO,IF,"JUD. ILFOV, ORS. VOLUNTARI, BLD. PIPERA, NR.2, ET.2, AP.SALA 1",RO70RZBR0000060009434129,RAIFFEISENBANK ROMANIA.,-,,,J23/2067/2007,,,,,,,0
00222,STEINEL ELECTRONIC SRL,RO25619860,4111.00222,RO,AG,"JUD. ARGES, MUN. CURTEA DE ARGES, STR. RIMNICU VILCEA, NR.79",,,0744628074,,,J03/676/2009,,,,,,,0
00223,ASKO INTERNATIONAL SRL,RO14988790,4111.00223,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 6, CAL. GIULESTI, NR.121D",,,0721556988,,,J40/11094/2002,,,,,,,0
00224,NEXT TOUR BUSINESS SRL,RO33696570,4111.00224,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 5, STR. RADITEI, NR.29, IMOBIL C1, ET.1",,,-,,,J40/11924/2014,,,,,,,0
00225,GEMRADUO IMPEX  SRL,RO16692374,4111.00225,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 3, SPL. UNIRII, NR.313, ET.3",,,0721642143,,,J38/764/2004,,,,,,,0
00226,TAILORED BEAUTY SRL,RO37890412,4111.00226,RO,IF,"JUD. ILFOV, SAT CORBEANCA COM. CORBEANCA, STR. LAGUNA ALBASTRA, NR.77, CAMERA 1",,,-,,,,,,,,,,0
00227,REDPORT ENGINEERING S.R.L.,RO35840469,4111.00227,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, STR. PUTUL LUI ZAMFIR, NR.60, ET.3, AP.5",,,0213366104,,,J40/4243/2016,,,,,,,0
00228,BELISA SRL,RO5553494,4111.00228,RO,BV,"JUD. BRASOV, MUN. BRASOV, STR. FANTANII, NR.20A",,,412948,,,J08/827/1994,,,,,,,0
00229,XSTORAGE SECURITY SISTEM SRL,RO38032379,4111.00229,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, STR. GORUNULUI, NR.24, CAM. 3",,,-,,,,,,,,,,0
00230,CTE TRAILERS SRL,RO14269085,4111.00230,RO,B,"JUD. ILFOV, SAT CIOROGARLA COM. CIOROGARLA, SOS. BUCURESTI, NR.57",,,0214105514,,,J23/1326/2008,,,,,,,0
00231,INVEST SERVICII COMERCIALE S.R.L.,RO226742,4111.00231,RO,CJ,"JUD. CLUJ, MUN. DEJ, STR. NICHITA STANESCU, NR.1",,,0264222777,,,J12/3621/1991,,,,,,,0
00232,SHAUL FELDINGER,1740202400078,4111.00232,RO,B,"STR. ANKARA 7, SECTOR 1",,,,office@icatch.ro,,,,,,,,,0
00233,WANTAD ARGUMENT S.R.L.,RO15158808,4111.00233,RO,B,Str. Poetului 43 BUCURESTI,,,0722505659,,,J40/1016/2003,,,,,,,0
00234,NORELECTRIC S.R.L.,RO17571249,4111.00234,RO,TM,"JUD. TIMIS, MUN. TIMISOARA, STR. ARISTIDE DEMETRIADE-SPATIUL DIGI 5, NR.15",,,0256283479,,,J35/1573/2005,,,,,,,0
00235,DRAGOMIR CATALIN,1780804424512,4111.00235,RO,,,,,,,,,,,,,,,0
00236,EXPERBUY SRL,RO30156878,4111.00236,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 6, BLD. G-RAL VASILE MILEA, NR.21, IN SUPRAFATA UTILA DE 320 MP, ET.4",,,-,,,J40/5139/2012,,,,,,,0
00237,ZABLAULUI RESIDENCE SRL,RO35486133,4111.00237,RO,B,"MUNICIPIUL BUCURESTI, SECTOR 1, STR. MOECIU, NR.3A, CAMERA 2, ET.P+1, AP.2",,,0013260187,,,J40/917/2016,,,,,,,0
00238,EXPERT LIGHT & DESIGN SRL,RO37220072,4111.00238,RO,IF,"JUD. ILFOV, ORS. PANTELIMON, INT. ZARZARULUI, NR.2A",,,-,,,J23/1060/2017,,,,,,,0
00239,DIACONESCU RONALD-MIHAI,1820722420063,4111.00239,RO,B,"Bdul Agronomiei 7-15, bl N 3.2 sc c et1, ap31",,,,,,,,,,,,,0
00240,YLY RETAIL & DISTRIBUTION SRL,RO33464147,4111.00240,RO,TM,"JUD. TIMIS, SAT BERINI COM. SACOSU TURCESC, NR.58",,,-,,,J35/1881/2014,,,,,,,0
00241,LINIA INTERIOR DESIGN  S.R.L.,37219655,4111.00241,RO,B,"JUD. DAMBOVITA, SAT CREVEDIA COM. CREVEDIA, SOS. BUCURESTI-TARGOVISTE, NR.171",,,-,,,J15/267/2017,,,,,,,0
00242,REAL DESIGN S.R.L.,RO15645692,4111.00242,RO,TM,"JUD. TIMIS, SAT CHISODA COM. GIROC, STR. COOPERATORILOR, NR.10",,,0725540313,lucianjantuan@gmail.com,,J35/1799/2003,,,,,,,0
00243,TODORESCU CONSTANTA,CNP760518424513,4111.00243,RO,,Muzeul Zambaccian nr 10,,,,,,,,,,,,,0
00244,NORTH SOLUTIONS AB,SE559162524801,4111.00244,SE,,Drakblommegatan 5,HANDELSBANKEN,,,,,,,,,,,,0
